File,TypeName,ScriptName,Match,Note
Sops/Buildings/AB.SkyscraperGenerator.2.1.hda,AB::SkyscraperGenerator::2.1,AOD::ModernBuildings::1.0,MISMATCH,legacy AOD lineage
Sops/Buildings/AB.VictorianHouses.1.0.hda,AB::VictorianHouses::1.0,RFX::BD_downtown_building::3.0,MISMATCH,
Sops/Buildings/AB.VictorianHouses.1.1.hda,AB::VictorianHouses::1.1,RFX::BD_downtown_building::3.0,MISMATCH,
Sops/Buildings/backup/AB.DowntownBuilding.3.6_bak1.hda,AB::DowntownBuilding::3.6,RFX::BD_downtown_building::3.0,MISMATCH,
Sops/Buildings/backup/AB.DowntownBuilding.3.6_bak2.hda,AB::DowntownBuilding::3.6,RFX::BD_downtown_building::3.0,MISMATCH,
Sops/Buildings/backup/AB.DowntownBuilding.3.6_bak3.hda,AB::DowntownBuilding::3.6,RFX::BD_downtown_building::3.0,MISMATCH,
Sops/CityGen/AB.BlocksRGB.1.0.hda,AB::BlocksRGB::1.0,RFX::CG_assemble_blocks_rgb::4.0,MISMATCH,
Sops/CityGen/AB.CityGenerator.2.0.hda,AB::CityGenerator::2.0,RFX::industrial_from_blocks::1.0,MISMATCH,
Sops/CityGen/AB.CityGenerator.2.1.hda,AB::CityGenerator::2.1,RFX::industrial_from_blocks::1.0,MISMATCH,
Sops/CityGen/AB.CityGenerator.2.2.hda,AB::CityGenerator::2.2,RFX::industrial_from_blocks::1.0,MISMATCH,
Sops/CityGen/AB.CityGenerator.2.3.hda,AB::CityGenerator::2.3,RFX::industrial_from_blocks::1.0,MISMATCH,
Sops/CityGen/AB.CityGenerator.2.4.hda,AB::CityGenerator::2.4,RFX::industrial_from_blocks::1.0,MISMATCH,
Sops/CityGen/AB.CityGenerator.2.5.hda,AB::CityGenerator::2.5,RFX::industrial_from_blocks::1.0,MISMATCH,
Sops/CityGen/AB.CityGridGenerator.1.0.hda,AB::CityGridGenerator::1.0,RFX::CG_assemble_blocks_rgb::4.0,MISMATCH,
Sops/CityGen/AB.CityGridGenerator.1.1.hda,AB::CityGridGenerator::1.1,RFX::CG_assemble_blocks_rgb::4.0,MISMATCH,
Sops/CityGen/AB.CityGridGenerator.1.2.hda,AB::CityGridGenerator::1.2,RFX::CG_assemble_blocks_rgb::4.0,MISMATCH,
Sops/CityGen/AB.CityGridGenerator.1.3.hda,AB::CityGridGenerator::1.3,RFX::CG_assemble_blocks_rgb::4.0,MISMATCH,
Sops/CityGen/AB.CityGridGenerator.1.4.hda,AB::CityGridGenerator::1.4,RFX::CG_assemble_blocks_rgb::4.0,MISMATCH,
Sops/CityGen/AB.SingleBlockGenerator.2.0.hda,AB::SingleBlockGenerator::2.0,AOD::BlockSingle::1.0,MISMATCH,legacy AOD lineage
Sops/CityGen/AB.SubdivideLots.2.0.hda,AB::SubdivideLots::2.0,gamedev::sop_lot_subdivision,MISMATCH,
Sops/CityGen/backup/AB.CityGridGenerator.1.4_bak1.hda,AB::CityGridGenerator::1.4,RFX::CG_assemble_blocks_rgb::4.0,MISMATCH,
Sops/CityHelpers/AB.SidewalkProcessor.1.0.hda,AB::SidewalkProcessor::1.0,AB::SidewalkProcessor::1.0,ok,
Sops/CityProps/AB.BillboardGenerator.2.0.hda,AB::BillboardGenerator::2.0,AB::CreateBillboard::1.0,MISMATCH,
Sops/CityProps/AB.BillboardGenerator.2.1.hda,AB::BillboardGenerator::2.1,AB::CreateBillboard::1.0,MISMATCH,
Sops/CityProps/AB.BridgeGenerator.2.0.hda,AB::BridgeGenerator::2.0,RFX::MD_GenerateBridge::1.0,MISMATCH,
Sops/CityProps/AB.BusStopGenerator.2.0.hda,AB::BusStopGenerator::2.0,RFX::MD_city_props::1.0,MISMATCH,
