tool,inner_node,node_type,parm_family,n_referenced,n_in_family,confidence,literals,referenced
AB::HangingClothGenerator::1.5,/obj/AnalysisHolder/probe_62/prep_geometry/resample2,resample,,1,2,medium,dolength=0 dosegs=1,segs
AB::HangingClothGenerator::1.5,/obj/AnalysisHolder/probe_62/sim_geo/vellumhair1,vellumconstraints,,3,10,medium,constrainttype=4 linear=0 domass=3 density=0.001 thickness=0.06 stretchdampingratio=0.01 dostretchgrp=1 bendstiffnessexp=-3 benddampingratio=0.05 dobendgrp=1,bendstiffness dragnormal stretchstiffness
AB::HangingClothGenerator::1.5,/obj/AnalysisHolder/probe_62/sim_geo/vellumsolver1,vellumsolver,,3,6,medium,ignorepiece=0 viscosity=0.5 surfacetension=0.001 windshadow_maskfalloff1pos=0.85 windshadow_maskfalloff1value=1 windshadow_maskfalloff2pos=0.997386,collisionsiter niter substeps
AB::HangingClothGenerator::1.5,/obj/AnalysisHolder/probe_62/sim_geo/vellumsolver1/dopnet1,dopnet,,11,1,medium,stdswitcher1=1,autoresim cacheenabled cachemaxsize explicitcache explicitcachecheckpointspacing explicitcachensteps resimulate startframe substep timeoffset timestep
AB::HangingClothGenerator::1.5,/obj/AnalysisHolder/probe_62/sim_geo/vellumsolver1/dopnet1/vellumobject1,vellumobject,,46,3,medium,folder11=1 usesimframe=1 createframe=1,guide_attachcolorb guide_attachcolorg guide_attachcolorr guide_colvisscale guide_constraintgroup guide_constraintvisradius guide_failedexternalb guide_failedexternalg guide_failedexternalr guide_failedselfb guide_failedselfg guide_failedselfr guide_pincolorb guide_pincolorg guide_pincolorr guide_showattach guide_showfailedexternal guide_showfailedself guide_showpin guide_showstitch guide_showthickness guide_showthicknessextrude guide_showwelds guide_stitchcolorb guide_stitchcolorg guide_stitchcolorr guide_thicknesscolorb guide_thicknesscolorg guide_thicknesscolorr guide_usegroup guide_weldcolorb guide_weldcolorg guide_weldcolorr showguide vis_displaygeo vis_maxbendangle vis_maxbendplasticflow vis_maxbendstress vis_maxstretchdistance vis_maxstretchplasticflow vis_maxstretchratio vis_maxstretchstress vis_maxvolumedistance vis_maxvolumeratio vis_maxvolumestress vis_mode
AB::HangingClothGenerator::1.5,/obj/AnalysisHolder/probe_62/sim_geo/vellumsolver1/dopnet1/vellumsolver1,vellumsolver,,69,4,medium,folder4=1 folder9=1 usegravity=1 sdfaccurategrad=1,accelfallback adhesion angveldamping attractionweight collisioniter collisionviscosity disablebrokenwelds disablestretchratio doautosleep domaxaccel domultipass dosecondary doselfcollisions dosort dynamic_scale dynamic_sdfscale enablecollisions fluid_searchscale friction grain_maxneighbor grain_searchscale grain_uniformradius gravityx gravityy gravityz groundposx groundposy groundposz ignorepiece integration layershock limitaccel limitdisplace maxaccel maxmultipass maxviscosityiterations minimalmode niter normalizestress oclgraphcolor oclneighborsearch orientsolve postcollisioniter repulsionweight resolveall resolveallmax sdfcollisioniter sdfcollisions sdfresolveall sdfresolveallmax secondaryfrequency secondarygroup selffriction sleep_delay sleep_velocitythreshold slidingmethod smoothiter sortinterval static_sdfscale static_threshold substeps surfacetension thickness timescale tol useground veldamping viscosity viscositysolver
AB::HangingClothGenerator::1.5,/obj/AnalysisHolder/probe_62/sim_geo/vellumsolver1/dopnet1/gravity1,gravity,,3,1,medium,defaultparmop=1,forcex forcey forcez
AB::HangingClothGenerator::1.5,/obj/AnalysisHolder/probe_62/sim_geo/vellumsolver1/dopnet1/external,staticobject,,2,4,medium,usesimframe=1 createframe=1 std_switcher_0_2_11=1 std_switcher_31=1,animategeo bullet_shrink_amount
AB::HangingClothGenerator::1.5,/obj/AnalysisHolder/probe_62/sim_geo/vellumsolver1/collision_errors,error,,1,1,medium,severity1=1,enable1
AB::HangingClothGenerator::1.5,/obj/AnalysisHolder/probe_62/sim_geo/vellumsolver1/vdb_collision_errors,error,,1,1,medium,severity1=2,enable1
AB::HangingClothGenerator::1.5,/obj/AnalysisHolder/probe_62/sim_geo/vellumsolver1/switchif_vdb_colliders,switchif,,1,4,medium,mergecondition=1 tests=2 type2=1 attribowner2=2,expr1
AB::HangingClothGenerator::1.5,/obj/AnalysisHolder/probe_62/sim_geo/vellumcloth1,vellumconstraints,,3,8,medium,constrainttype=3 linear=0 domass=3 dothickness=2 docompress=1 dostretchgrp=1 bendstiffnessexp=-4 dobendgrp=1,bendstiffness dragnormal stretchstiffness
AB::HangingClothGenerator::1.5,/obj/AnalysisHolder/probe_62/sim_geo/vellumsolver2,vellumsolver,,8,8,medium,folder0_11=1 windz=10 ignorepiece=0 viscosity=0.5 surfacetension=0.001 windshadow_maskfalloff1pos=0.85 windshadow_maskfalloff1value=1 windshadow_maskfalloff2pos=0.997386,collisionsiter gravityx gravityy gravityz niter resimulate static_threshold substeps
